"No.","Time","Source","Destination","Protocol","Length","Info"
"11142","164.380757","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11143","164.380757","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11144","164.380757","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11145","164.391098","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11146","164.391098","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11147","164.391098","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11148","164.391098","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11149","164.391098","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11150","164.391098","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11151","164.391098","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11152","164.391098","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11153","164.391098","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11154","164.391098","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11155","164.395826","192.168.1.7","36.92.238.140","QUIC","75","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"11156","164.396448","192.168.1.7","36.92.238.140","QUIC","75","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"11157","164.397044","192.168.1.7","36.92.238.140","QUIC","75","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"11158","164.399447","192.168.1.7","36.92.238.140","QUIC","75","Protected Payload (KP0), DCID=a7cfb2044b5297d6"
"11159","164.408339","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11160","164.408339","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11161","164.408339","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11162","164.408339","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11163","164.408339","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
"11164","164.408339","36.92.238.140","192.168.1.7","QUIC","1292","Protected Payload (KP0)"
